epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,5593.51171875,
0,99,,2621.15087890625,
0,149,,4005.979736328125,
0,199,,3845.86279296875,
0,234,,,4494.859375
0,234,4324.66650390625,,
1,249,,2391.0205078125,
1,299,,3300.52294921875,
1,349,,1996.8411865234375,
1,399,,1743.384765625,
1,449,,6936.80859375,
1,469,,,3612.886474609375
1,469,3592.772705078125,,
2,499,,3548.421875,
2,549,,6974.361328125,
2,599,,5576.47314453125,
2,649,,1207.0821533203125,
2,699,,1367.596435546875,
2,704,,,2701.9609375
2,704,2914.681884765625,,
3,749,,1913.092041015625,
3,799,,723.1058959960938,
3,849,,614.095458984375,
3,899,,1105.821533203125,
3,939,,,2181.927734375
3,939,2182.431884765625,,
4,949,,935.0958862304688,
4,999,,884.2867431640625,
4,1049,,1329.1966552734375,
4,1099,,955.7825927734375,
4,1149,,1104.6646728515625,
4,1174,,,2002.9798583984375
4,1174,1870.9583740234375,,
